Cellar 3,858.263.3883,www.greenflashbrew.com/cellar3,"12260 Crosthwaite Circle Poway, CA 92064",Brewery
32 North Brewing Co. ,(619) 363-2622,www.32northbrew.com,"8655 Production Ave., Ste. A, San Diego, CA 92121",Brewery
Green Flash Brewing Company,(858) 622-0085,www.greenflashbrew.com,"6550 Mira Mesa Blvd, San Diego, CA 92121",Brewery
BNS Brewing & Distilling Co.,(619) 956-0952,www.bnsbrewinganddistilling.com,"10960 Wheatlands Ave #101, Santee, CA 92071",Brewery
AleSmith Brewing Company,(858) 549-9888,www.alesmith.com,"9990 AleSmith Court, San Diego, CA 92126",Brewery
Guadalupe Brewery,(858) 751-4278,www.guadalupebrewery.com,"5674 El Camino Real, Ste D, Carlsbad 92008",Brewery
Booze Brothers Brewing Co.,(760) 295-0217,www.boozebrothersbrewery.com,"2545 Progress St, Ste D, Vista 92081",Brewery
Midnight Jack Brewing Company,760-637-9679,midnightjackbrewing.com,"3801 Oceanic Drive, Suite 101, Oceanside CA 92056",Brewery
"The Hop Concept, San Marcos",800-9186816,www.thehopconcept.com,"155 Mata Way  suite 104   San Marcos, CA",Brewery
Abnormal Beer Company,(858) 618-2463,www.facebook.com/AbnormalBeerCo,"16990 Via Tazon, San Diego, CA 92127",Brewery
Breakwater Brewing Co.,(760) 433-6064,www.breakwaterbrewing.com,"101 N. Coast Hwy., Suite C-140, Oceanside, CA 92054",Brewery
Back Street Brewery,(760) 407-7600,www.backstreetbrew.com,"15 Main St, #100, Vista 92083",Brewery
"Iron Fist Brewing Co., Vista",(760) 216-6500,www.ironfistbrewing.com,"1305 Hot Spring Way, Vista, CA 92081",Brewery
Coronado Brewing Company Tasting Room,(619) 275-2215,www.coronadobrewingcompany.com,"1205 Knoxville St, San Diego 92110",Brewery
Gordon Biersch,(619) 688-1120,www.gordonbiersch.com,"5010 Mission Center Rd, San Diego, CA 92108",Brewery
Prodigy Brewing Company,"",www.prodigybrewingcompany.com,"6162 Mission Gorge Rd, Ste E, San Diego 92120",Brewery
Dos Desperados Brewery & Tasting Room,(760) 566-6209,www.dosdesperadosbrew.com,1241 Linda Vista Drive San Marcos CA. 92078,Brewery
Helm's Brewing Co.,(858) 384-2772,www.helmsbrewingco.com,"5640 Kearny Mesa Rd, San Diego, CA 92111",Brewery
Acoustic Ales Brewing Experiment,(619) 299-2537,www.acousticales.com,"1795 Hancock St., San Diego, CA 92110",Brewery
Intergalactic Brewing Company,(858) 750-0601,www.intergalacticbrew.com,9715 Carroll Centre Rd #107 San Diego CA 92126,Brewery
Karl Strauss Brewing Company & Tasting Room,(858) 273-2739,www.karlstrauss.com,"5985 Santa Fe St, San Diego, CA 92109",Brewery
Half Door Brewing Company,(619) 232-9845,www.halfdoorbrewing.com,"903 Island Ave, San Diego 92102",Brewery
Indian Joe Brewing,(760) 295-3945 ,www.indianjoebrewing.com,"2123 Industrial Ct.  Vista, CA 92081",Brewery
Arcana Brewing Company,(909) 529-2337,www.arcanabrewing.com,"5621 Palmer Way, Ste C, Carlsbad 92010",Brewery
Automatic Brewing Co.,(619) 200-7522,automaticbrewingco.blogspot.com,"3416 Adams Ave., San Diego, CA 92116",Brewery
Council Brewing Company,(858) 256-0038,www.councilbrew.com,"7705 Convoy Ct San Diego, CA 92111",Brewery
"Groundswell Brewing Co., Grantville",(619) 795-2337,www.groundswellbrew.com,"6304 Riverdale St., San Diego, CA 92120",Brewery
"Culture Brewing Co., Solana Beach",(858) 345-1144,www.culturebrewingco.com,"111 S Cedros Ave, Ste 200, Solana Beach 92075",Brewery
Fallbrook Brewing Company,(858) 342-1851,www.fallbrookbrewing.com,"136 N. Main Avenue, Fallbrook, CA",Brewery
Thorn St. Brewery,(619) 888-0249,www.thornstreetbrew.com,"3176 Thorn St, San Diego, CA 92104",Brewery
Thr3e Punk Ales Brewing Co. ,619-876-2513,www.3PunkAles.com,259 Third Ave Chula Vista CA 91910,Brewery
Resident Brewing,619-717-6622,www.residentbrewing.com," 1065 Fourth Ave, San Diego, CA 92101",Brewery
White Labs,(858) 693-3441,www.whitelabs.com,"9495 Candida St, San Diego, CA 92126",Brewery
"Belching Beaver Brewery, Ocean Beach ",(760) 599-5832,http://www.belchingbeaver.com," 4836 Newport Ave, San Diego, CA 92107",Brewery
Kuracali Saké and Beer Brewery,858 775 6502,kuracali.com,"175 Bosstick Blvd, San Marcos, CA 92069",Brewery
Jamul Brewing Co.,(619) 517-9829,jpilarwines.com/,"Jamul, CA",Brewery
"Stone Company Store, Kettner",(619) 450-4518,www.stonebrewing.com,"1202 Kettner Blvd, Suite 101 San Diego, CA 92101",Brewery
Belching Beaver Brewery Tavern & Grill ,(760) 295-8599,http://www.belchingbeaver.com,"302 East Broadway, Vista, CA 92084",Brewery
"Belching Beaver Brewery, Oceanside ",(760) 732-1415,http://www.belchingbeaver.com,"1334 Rocky Point Dr., Oceanside, CA 92056",Brewery
Burning Beard,619-456-9185,http://burningbeardbrewing.com,"785 Vernon Way, El Cajon, Ca 92020",Brewery
"Coronado Brewing Company, Imperial Beach",(619) 423-4900,www.coronadobrewingcompany.com,"875 Seacoast Dr, Imperial Beach 91932",Brewery
Coronado Brewing Company Pub,(619) 437-4452,www.coronadobrewingcompany.com,"170 Orange Ave, Coronado 92118",Brewery
"Karl Strauss Brewing Company, La Jolla",(858) 551-2739,www.karlstrauss.com,"1044 Wall Street, La Jolla, CA 92037",Brewery
"Culture Brewing Co., Ocean Beach",(619) 255-3811,www.culturebrewingco.com/ocean-beach,"4845 Newport Ave, Ocean Beach 92107",Brewery
"The Hop Concept, Cardiff",8009186816,www.thehopconcept.com,"2007 San Elijo Avenue, Cardiff, CA 92007",Brewery
"Groundswell Brewing Co., Santee",619-749-9123,www.groundswellbrew.com,"10151 Prospect Avenue, Santee, CA 92071",Brewery
Home Brewing Co.,(619) 450-6165,www.thehomebrewersd.com,"2911 El Cajon Blvd Space 2, San Diego, CA",Brewery
Burgeon Beer Company,(760)-814-2548,http://burgeonbeer.com/,"6350 Yarrow Drive, Suite C, Carlsbad, CA 92011",Brewery
"The Lost Abbey, San Marcos",(800) 918-6816,www.lostabbey.com,"155 Mata Way, San Marcos, CA 92069",Brewery
Lightning Brewery,(858) 513-8070,www.lightningbrewery.com,"13200 Kirkham Way, Poway, CA 92064",Brewery
"Karl Strauss Brewing Company, 4S Ranch",(858) 376-2739,www.karlstrauss.com,"1044 Reserve Drive, San Diego, 92127",Brewery
La Jolla Brewing Company,(858) 246-6759,www.lajollabeer.com,"7536 Fay Ave, La Jolla, CA 92037",Brewery
Mother Earth Brew Co.,(760) 542-8868,www.motherearthbrewco.com,"2055 Thibodo Rd. Suite H, Vista, CA 92081",Brewery
Aztec Brewing Company,(760) 598-7720,www.aztecbrewery.com,"2330 La Mirada Dr, Ste 300, Vista 92081",Brewery
New English Brewing Company,(619) 857-8023,www.newenglishbrewing.com,"11545 Sorrento Valley Rd, Ste 305, San Diego, CA 92121",Brewery
Nickel Beer Company,(760) 765-2337,www.nickelbeerco.com,"1485 Hollow Glen Road, Julian, CA",Brewery
"Rip Current Brewing, San Marcos",(760) 481-3141,www.ripcurrentbrewing.com,"1325 Grand Ave, Suite 100, San Marcos, CA 92078",Brewery
"Rip Current Brewing & Sublime Ale House, North Park",(619) 793-4777,www.ripcurrentbrewing.com,"4101 30th Street, San Diego CA 92104",Brewery
"Modern Times Flavordome, North Park",619-269-5222,www.moderntimesbeer.com,"3000 Upas St, Ste 102, San Diego, CA 92104",Brewery
Prohibition Brewing Company,(760) 295-3525,www.prohibitionbrewingcompany.com,"2004 E Vista Way Vista, CA 92084",Brewery
"Mike Hess Brewing Co., North Park",(619) 255-7136,www.mikehessbrewing.com,"3812 Grim Ave, San Diego, CA 92104",Brewery
"Rock Bottom Restaurant & Brewery, La Jolla",(858) 450-9277,www.rockbottom.com/locations/la-jolla,"8980 Villa La Jolla Drive, La Jolla, CA 92037",Brewery
Mother Earth Brew Co. Tap House,(760) 542-8868,www.motherearthbrewco.com,"206 Main St. Vista, CA. 92084",Brewery
Monkey Paw Pub & Brewery,(619) 358-9901,www.monkeypawbrewing.com,"805 16th St, San Diego, CA 92101",Brewery
Reckless Brewing Company,(858) 876-7557,www.recklessbrewing.com,"9040 Carroll Way, Suite 6, San Diego, 92127",Brewery
Modern Times Beer,(619) 546-9694,www.moderntimesbeer.com,"3725 Greenwood St, San Diego, CA 92110",Brewery
Black Plague Brewery,7602137065,http://blackplaguebrewing.com/,"2550 Jason Court, Oceanside, CA, 92056",Brewery
Quantum Brewing Company,(619) 218-3919,www.quantumbrewingsd.com,"5375 Kearny Villa Rd #116, San Diego 92123",Brewery
Rough Draft Brewing Company,(858) 453-7238,www.roughdraftbrew.com,"8830 Rehco Rd, San Diego, CA 92121",Brewery
Mission Brewery,(619) 544-0555,www.missionbrewery.com,"1441 L Street, San Diego, CA 92101",Brewery
Magnetic Brewing,(858) 222-1668,www.magneticbrewing.com,"5595 Magnatron Blvd, Ste. O, San Diego, CA 92111",Brewery
"Mike Hess Brewing Co., Miramar",(619) 786-4377,www.mikehessbrewing.com,"7955 Silverton Ave, San Diego, CA 92126",Brewery
O'Sullivan Bros. Brewing Co.,(858) 577-0350,www.osullivan-brothers.com,"9879 Hibert St, Ste F, San Diego 92131",Brewery
2kids Brewing Company,(858) 480-5437,www.twokidsbrewing.com,"8680 Miralani Dr. #123, San Diego, CA 92126",Brewery
"Karl Strauss Brewing Company, Downtown",(619) 234-2739,www.karlstrauss.com,"1157 Columbia Street, San Diego, CA 92101",Brewery
"Bolt Brewery, La Mesa",(619) 303-7837,www.boltbrewery.com,"8179 Center St, La Mesa, CA 91942",Brewery
Pacific Beach AleHouse,(858) 581-2337,www.pbalehouse.com,"721 Grand Ave, San Diego, CA 92109",Brewery
"Oggi's Sports Brewhouse Pizza, Carmel Mountain Ranch",(858) 592-7883,www.oggis.com,"10155 Rancho Carmel Dr. San Diego, CA 92128",Brewery
"Oggi's Sports Brewhouse Pizza, Mission Valley",(619) 640-1072,www.oggis.com,"2245 Fenton Parkway, San Diego, CA 92108",Brewery
"Pizza Port, Carlsbad",(760) 720-7007,www.pizzaport.com,"571 Carlsbad Village Dr, Carlsbad, CA",Brewery
"Pizza Port, Bressi Ranch",(760) 707-1655,www.pizzaport.com,"2730 Gateway Rd, Carlsbad, CA 92009",Brewery
Wiseguy Brewing Company,949-293-0639,www.wiseguybrewing.com,"5840 El Camino Real #100, Carlsbad, CA 92008",Brewery
"Pizza Port, Ocean Beach",(619) 224-4700,www.pizzaport.com,"1956 Bacon St, San Diego, CA 92107",Brewery
"Pizza Port, Solana Beach",(858) 481-7332,www.pizzaport.com,"135 N. Highway 101, Solana Beach, CA",Brewery
"Legacy Brewing Co., Oceanside",(760) 705-3221,www.legacybrewingco.com,"363 Airport Rd, Oceanside CA 92058",Brewery
"Stone Brewing, San Diego International Airport",(619) 400-2404,www.san.org,"San Diego International Airport, Terminal Two, Food Court, San Diego International Airport (SAN), 3665 N Harbor Dr, San Diego, CA",Brewery
San Marcos Brewery & Grill,(760) 471-0050,www.sanmarcosbrewery.com,"1080 W. San Marcos Blvd., San Marcos CA 92078",Brewery
